Session primary channel group (Default channel group),Date + hour (YYYYMMDDHH),Users,Sessions,Engaged sessions,Average engagement time per session,Engaged sessions per user,Events per session,Engagement rate,Event count
Organic Social,2024042810,74,86,59,35.27,0.8,5.02,0.69,432
Organic Social,2024043016,74,100,50,52.88,0.68,4.74,0.5,474
Organic Social,2024043018,74,87,51,30.01,0.69,4.55,0.59,396
Referral,2024041514,74,84,56,85.26,0.76,5.86,0.67,492
Referral,2024042321,74,86,59,86.88,0.8,7.48,0.69,643
Referral,2024042414,74,81,57,126.36,0.77,5.95,0.7,482
Referral,2024042921,74,83,52,47.33,0.7,4.86,0.63,403
Referral,2024050215,74,78,60,107.06,0.81,5.94,0.77,463
Referral,2024050314,74,82,60,113.51,0.81,6.05,0.73,496
Direct,2024041120,73,79,37,29.85,0.51,3.78,0.47,299
Direct,2024041211,73,89,43,38.93,0.59,4.17,0.48,371
Direct,2024042412,73,94,43,56.99,0.59,4.23,0.46,398
Organic Search,2024041121,73,89,45,18.76,0.62,3.71,0.51,330
Organic Search,2024041520,73,81,45,32.28,0.62,3.83,0.56,310
Organic Search,2024041620,73,84,45,25.1,0.62,3.67,0.54,308
Organic Search,2024041816,73,82,50,48.26,0.68,4.39,0.61,360
Organic Search,2024041818,73,83,48,44.64,0.66,3.51,0.58,291
Organic Search,2024041920,73,85,46,46.8,0.63,4.96,0.54,422
Organic Search,2024042321,73,81,49,86.86,0.67,5.14,0.6,416
Organic Search,2024042514,73,85,47,58.8,0.64,3.54,0.55,301
Organic Social,2024040709,73,91,50,25.34,0.68,4.29,0.55,390
Organic Social,2024041012,73,101,51,46.54,0.7,4.5,0.5,454
Organic Social,2024041122,73,83,50,60.16,0.68,5.42,0.6,450
Organic Social,2024041300,73,123,41,43.35,0.56,3.86,0.33,475
Organic Social,2024041401,73,103,38,22.86,0.52,3.78,0.37,389
Organic Social,2024041408,73,100,48,32.12,0.66,4.4,0.48,440
Organic Social,2024041510,73,92,61,38.35,0.84,5.21,0.66,479
Organic Social,2024042220,73,85,53,52.21,0.73,5.61,0.62,477
Organic Social,2024042715,73,101,53,90.43,0.73,5.25,0.52,530
Organic Social,2024042922,73,93,59,52.3,0.81,5.61,0.63,522
Organic Social,2024043001,73,99,49,55.94,0.67,5.41,0.49,536
Organic Social,2024050318,73,93,51,65.55,0.7,4.51,0.55,419
Referral,2024041012,73,85,65,105,0.89,7.12,0.76,605
Direct,2024041210,72,81,52,60.46,0.72,4.85,0.64,393
Direct,2024041422,72,87,38,19.89,0.53,3.83,0.44,333
Direct,2024041719,72,86,48,59.63,0.67,5.23,0.56,450
Direct,2024041920,72,88,41,42.39,0.57,4.5,0.47,396
Direct,2024042413,72,87,40,88.59,0.56,4.06,0.46,353
Direct,2024042520,72,84,40,30.7,0.56,4.01,0.48,337
Direct,2024043021,72,89,36,51.47,0.5,5.28,0.4,470
Direct,2024050121,72,85,41,41.73,0.57,3.94,0.48,335
Organic Search,2024040818,72,80,48,60.4,0.67,4,0.6,320
Organic Search,2024040914,72,79,53,46.46,0.74,4.62,0.67,365
Organic Search,2024040919,72,82,50,42.62,0.69,4.1,0.61,336
Organic Search,2024041712,72,80,49,39.24,0.68,3.48,0.61,278
Organic Search,2024041900,72,90,49,58.86,0.68,4.06,0.54,365
Organic Search,2024042510,72,80,54,77.08,0.75,5,0.68,400
Organic Search,2024050211,72,83,44,64.27,0.61,4.53,0.53,376
Organic Search,2024050212,72,78,55,46.1,0.76,4.06,0.71,317
Organic Social,2024041009,72,95,49,178.13,0.68,4.22,0.52,401
Organic Social,2024041113,72,89,53,60.91,0.74,5.53,0.6,492
Organic Social,2024041208,72,89,38,29.52,0.53,4.04,0.43,360
Organic Social,2024041318,72,102,44,44.75,0.61,4.06,0.43,414
Organic Social,2024041416,72,91,58,53.56,0.81,4.93,0.64,449
Organic Social,2024042012,72,81,52,79.06,0.72,5.95,0.64,482
Organic Social,2024042819,72,84,48,63.35,0.67,5.36,0.57,450
Referral,2024042420,72,82,54,68.68,0.75,8.1,0.66,664
Referral,2024050321,72,78,50,65.9,0.69,4.72,0.64,368
Direct,2024040819,71,87,43,34.34,0.61,3.87,0.49,337
Direct,2024042011,71,85,42,33.45,0.59,3.56,0.49,303
Direct,2024050116,71,85,43,44.86,0.61,4.44,0.51,377
Organic Search,2024041214,71,81,46,34.95,0.65,4.19,0.57,339
Organic Search,2024041614,71,80,47,47.26,0.66,4.09,0.59,327
Organic Search,2024041811,71,89,53,37.81,0.75,3.91,0.6,348
Organic Search,2024042414,71,78,53,43.32,0.75,4.44,0.68,346
Organic Search,2024042515,71,82,52,49.73,0.73,3.83,0.63,314
Organic Social,2024040614,71,92,57,61.45,0.8,5.5,0.62,506
Organic Social,2024040618,71,87,50,110,0.7,5.36,0.57,466
Organic Social,2024040708,71,82,49,49.98,0.69,5.2,0.6,426
Organic Social,2024040716,71,84,51,54.9,0.72,5.6,0.61,470
Organic Social,2024040913,71,85,56,55.24,0.79,5.39,0.66,458
Organic Social,2024040920,71,86,56,90.52,0.79,6.52,0.65,561
Organic Social,2024041111,71,88,58,73.51,0.82,6.31,0.66,555
Organic Social,2024041220,71,79,51,37.32,0.72,5.06,0.65,400
Organic Social,2024042112,71,95,57,36.51,0.8,4.37,0.6,415
Organic Social,2024042711,71,92,53,47.17,0.75,4.46,0.58,410
Organic Social,2024042713,71,78,49,49.51,0.69,5.12,0.63,399
Organic Social,2024042909,71,93,49,38.08,0.69,4.41,0.53,410
Organic Social,2024050117,71,88,52,59.63,0.73,5.49,0.59,483
Referral,2024041214,71,74,58,99.84,0.82,7.99,0.78,591
Referral,2024041617,71,76,50,71.58,0.7,4.88,0.66,371
Referral,2024043014,71,76,61,103.61,0.86,5.91,0.8,449
Referral,2024050112,71,78,55,79.01,0.77,5.06,0.71,395
Direct,2024041620,70,85,40,35.81,0.57,3.92,0.47,333
Direct,2024041918,70,81,41,29.15,0.59,3.78,0.51,306
Organic Search,2024040820,70,75,47,57.73,0.67,4.49,0.63,337
Organic Search,2024041222,70,81,43,50.85,0.61,4.65,0.53,377
Organic Search,2024041516,70,77,43,41.77,0.61,4.26,0.56,328
Organic Search,2024041716,70,78,50,46.96,0.71,4.6,0.64,359
Organic Search,2024041810,70,79,54,45.73,0.77,4.35,0.68,344
Organic Search,2024041814,70,77,44,23.39,0.63,4,0.57,308
Organic Search,2024042518,70,82,51,56.93,0.73,4.49,0.62,368
Organic Search,2024042913,70,73,46,100.63,0.66,5.99,0.63,437
Organic Search,2024042915,70,80,56,44.49,0.8,4.1,0.7,328
Organic Social,2024040612,70,93,53,69.24,0.76,5.18,0.57,482
Organic Social,2024040821,70,87,46,56.08,0.66,4.51,0.53,392
Organic Social,2024041312,70,81,50,54.2,0.71,4.44,0.62,360
Organic Social,2024041810,70,92,53,73.14,0.76,5.75,0.58,529
Organic Social,2024041823,70,83,50,54.8,0.71,5.9,0.6,490
Organic Social,2024041922,70,90,43,39.48,0.61,4.08,0.48,367
Organic Social,2024042018,70,85,49,61.64,0.7,5.31,0.58,451
Organic Social,2024042023,70,90,52,50.71,0.74,6.39,0.58,575
Organic Social,2024042213,70,86,55,58.48,0.79,6.85,0.64,589
Organic Social,2024042223,70,85,53,87.32,0.76,7.26,0.62,617
Organic Social,2024043013,70,86,51,40,0.73,4.57,0.59,393
Organic Social,2024050213,70,85,51,59.96,0.73,5.25,0.6,446
Referral,2024050216,70,79,56,86.9,0.8,6.58,0.71,520
Referral,2024050310,70,88,54,100.53,0.77,4.92,0.61,433
Referral,2024050313,70,79,58,200.34,0.83,4.99,0.73,394
Direct,2024040820,69,86,41,45.03,0.59,4.13,0.48,355
Direct,2024041214,69,78,40,37.9,0.58,4.38,0.51,342
Direct,2024041715,69,87,39,65.47,0.57,4.33,0.45,377
Direct,2024041717,69,81,44,54.46,0.64,3.91,0.54,317
Direct,2024041923,69,81,41,59.78,0.59,4.25,0.51,344
Direct,2024042313,69,89,42,39.89,0.61,3.94,0.47,351
Direct,2024050318,69,80,40,68.56,0.58,4.29,0.5,343
Organic Search,2024040814,69,76,46,62.45,0.67,4.54,0.61,345
Organic Search,2024041720,69,78,47,48.92,0.68,4.82,0.6,376
Organic Search,2024041910,69,85,52,32.68,0.75,4.04,0.61,343
Organic Search,2024042220,69,73,49,25.68,0.71,3.86,0.67,282
Organic Search,2024042415,69,81,38,27.93,0.55,3.73,0.47,302
Organic Search,2024042511,69,78,55,104.59,0.8,5.74,0.71,448
Organic Search,2024043011,69,81,47,62.48,0.68,4.01,0.58,325
Organic Search,2024043015,69,79,47,54.77,0.68,4.86,0.59,384
Organic Social,2024041013,69,83,38,38.88,0.55,4.54,0.46,377
Organic Social,2024041123,69,91,47,42.1,0.68,4.67,0.52,425
Organic Social,2024041501,69,79,35,56.48,0.51,4.47,0.44,353
Organic Social,2024042022,69,81,53,80.98,0.77,6.99,0.65,566
Organic Social,2024042114,69,79,43,42.9,0.62,5.1,0.54,403
Organic Social,2024042122,69,80,51,52.38,0.74,6.36,0.64,509
Organic Social,2024042201,69,91,52,51.18,0.75,4.11,0.57,374
Organic Social,2024042410,69,93,51,69.12,0.74,5.24,0.55,487
Organic Social,2024042712,69,82,45,81.94,0.65,5.21,0.55,427
Organic Social,2024042809,69,89,43,41.75,0.62,4.89,0.48,435
Organic Social,2024042818,69,78,47,35.32,0.68,5.28,0.6,412
Referral,2024050116,69,78,56,79.14,0.81,5.47,0.72,427
Referral,2024050220,69,77,51,108.86,0.74,5.77,0.66,444
Direct,2024041215,68,76,39,51.67,0.57,4.97,0.51,378
Direct,2024041700,68,80,46,78.93,0.68,4.76,0.58,381
Direct,2024042215,68,80,39,51.2,0.57,4.36,0.49,349
Direct,2024042312,68,83,42,58.83,0.62,3.54,0.51,294
Direct,2024042515,68,78,36,69.5,0.53,4.95,0.46,386
Direct,2024042921,68,75,35,97.35,0.51,5.6,0.47,420
Direct,2024050314,68,82,38,52.37,0.56,4.2,0.46,344
Organic Search,2024041420,68,79,49,31.15,0.72,3.87,0.62,306
Organic Search,2024041522,68,79,50,75.71,0.74,5.14,0.63,406
Organic Search,2024041616,68,78,49,45.45,0.72,4,0.63,312
Organic Search,2024041913,68,80,43,29.6,0.63,3.64,0.54,291
Organic Search,2024042218,68,75,44,77.56,0.65,4.27,0.59,320
Organic Search,2024042314,68,74,48,46.2,0.71,3.58,0.65,265
Organic Social,2024040714,68,84,51,52.76,0.75,4.6,0.61,386
Organic Social,2024040910,68,90,47,44.77,0.69,4.5,0.52,405
Organic Social,2024041909,68,87,43,45.68,0.63,4.56,0.49,397
Organic Social,2024042510,68,95,58,45.02,0.85,4.95,0.61,470
Organic Social,2024043009,68,88,52,44.15,0.76,4.95,0.59,436
Organic Social,2024050308,68,82,45,56.82,0.66,5.07,0.55,416
Referral,2024041910,68,82,57,62.2,0.84,6.09,0.7,499
Referral,2024050113,68,73,49,44.82,0.72,4.68,0.67,342
Referral,2024050121,68,76,44,55.2,0.65,4.75,0.58,361
Referral,2024050210,68,75,54,80.35,0.79,6.04,0.72,453
Referral,2024050218,68,73,57,113.11,0.84,6.85,0.78,500
Direct,2024040911,67,74,44,51.01,0.66,4.32,0.59,320
Direct,2024041419,67,84,38,19.86,0.57,3.71,0.45,312
Direct,2024042221,67,91,38,56.45,0.57,3.88,0.42,353
Direct,2024042316,67,80,40,49.96,0.6,4.16,0.5,333
Direct,2024042319,67,88,41,34.05,0.61,4,0.47,352
Direct,2024042512,67,76,42,74.13,0.63,5.17,0.55,393
Direct,2024050222,67,73,42,76.4,0.63,4.34,0.58,317
Organic Search,2024041017,67,85,49,62.39,0.73,4.26,0.58,362
Organic Search,2024041518,67,76,45,46.7,0.67,4.17,0.59,317
Organic Search,2024041519,67,78,38,48.91,0.57,3.53,0.49,275
Organic Search,2024041711,67,76,42,50.41,0.63,4.2,0.55,319
Organic Search,2024041714,67,84,48,31.23,0.72,3.86,0.57,324
Organic Social,2024040912,67,81,52,72.53,0.78,5.6,0.64,454
Organic Social,2024041017,67,91,42,46.05,0.63,4.1,0.46,373
Organic Social,2024041110,67,88,44,35.25,0.66,4.56,0.5,401
Organic Social,2024041314,67,80,52,77.31,0.78,5.8,0.65,464
Organic Social,2024041509,67,78,43,67.56,0.64,4.97,0.55,388
Organic Social,2024042113,67,76,52,57.76,0.78,5.24,0.68,398
Organic Social,2024042817,67,81,50,36.46,0.75,4.83,0.62,391
Organic Social,2024050313,67,76,47,84.22,0.7,5.47,0.62,416
Referral,2024040722,67,73,50,65.07,0.75,5.47,0.68,399
Referral,2024041814,67,72,48,99.74,0.72,5.32,0.67,383
Referral,2024042312,67,77,57,131.4,0.85,7.06,0.74,544
Referral,2024042620,67,75,55,66.61,0.82,5.47,0.73,410
Referral,2024042920,67,75,48,64.76,0.72,4.75,0.64,356
Referral,2024050114,67,73,53,45.95,0.79,4.86,0.73,355
Referral,2024050120,67,72,44,84.39,0.66,4.72,0.61,340
Direct,2024041618,66,78,39,57.82,0.59,4.41,0.5,344
Direct,2024043015,66,81,36,30.26,0.55,3.62,0.44,293
Direct,2024050315,66,78,40,48.5,0.61,4.63,0.51,361
Organic Search,2024040812,66,78,50,50.79,0.76,4.4,0.64,343
Organic Search,2024041012,66,78,46,57.97,0.7,4,0.59,312
Organic Search,2024041618,66,80,38,39.54,0.58,3.56,0.48,285
Organic Search,2024041812,66,80,43,37.68,0.65,3.5,0.54,280
Organic Search,2024041923,66,75,48,52.57,0.73,4.25,0.64,319
Organic Search,2024042912,66,74,49,39.95,0.74,4.18,0.66,309
Organic Search,2024050221,66,76,45,37.55,0.68,4.09,0.59,311
Organic Search,2024050222,66,75,45,26.72,0.68,3.64,0.6,273
Organic Social,2024040622,66,87,37,81.26,0.56,4.77,0.43,415
Organic Social,2024040921,66,78,41,30.45,0.62,4.5,0.53,351
Organic Social,2024041201,66,82,47,34.28,0.71,5.15,0.57,422
Organic Social,2024041410,66,86,39,23.07,0.59,4.3,0.45,370
Organic Social,2024041609,66,84,50,49.24,0.76,4.64,0.6,390
Organic Social,2024050114,66,77,45,35.39,0.68,4.61,0.58,355
Referral,2024040921,66,74,50,68.12,0.76,4.69,0.68,347
Referral,2024041112,66,68,54,119.71,0.82,6.6,0.79,449
Referral,2024041710,66,74,50,94.78,0.76,6.34,0.68,469
Referral,2024042619,66,73,51,78.38,0.77,6.32,0.7,461
Referral,2024050117,66,76,49,87.83,0.74,4.8,0.64,365
Referral,2024050122,66,70,47,75.16,0.71,6.67,0.67,467
Referral,2024050219,66,73,44,61.11,0.67,5.58,0.6,407
Referral,2024050221,66,70,49,76.16,0.74,5.26,0.7,368
Referral,2024050322,66,72,44,72.07,0.67,4.29,0.61,309
Direct,2024040815,65,70,30,51.44,0.46,4.36,0.43,305
Direct,2024041322,65,78,35,37.32,0.54,4.06,0.45,317
Direct,2024041612,65,77,41,39.05,0.63,3.92,0.53,302
Direct,2024041619,65,76,36,40.08,0.55,4.18,0.47,318
Direct,2024041800,65,87,41,96.6,0.63,4.74,0.47,412
Direct,2024041817,65,75,39,48.57,0.6,3.76,0.52,282
Direct,2024041912,65,82,41,45.71,0.63,3.96,0.5,325
Direct,2024042314,65,82,39,61.96,0.6,4.6,0.48,377
Direct,2024042511,65,76,49,54,0.75,4.25,0.64,323
Direct,2024043020,65,79,44,66.2,0.68,5.13,0.56,405
Direct,2024050117,65,81,34,16.88,0.52,3.54,0.42,287
Organic Search,2024040912,65,67,46,77.81,0.71,4.16,0.69,279
Organic Search,2024040913,65,78,45,97.44,0.69,3.87,0.58,302
Organic Search,2024040922,65,81,50,66.53,0.77,4.48,0.62,363
Organic Search,2024041310,65,72,49,55.65,0.75,4.83,0.68,348
Organic Search,2024041719,65,77,46,42.26,0.71,3.47,0.6,267
Organic Search,2024041921,65,74,46,45.47,0.71,4.11,0.62,304
Organic Search,2024042316,65,75,46,47.95,0.71,3.72,0.61,279
Organic Search,2024042419,65,76,48,53.38,0.74,5.13,0.63,390
Organic Search,2024042420,65,72,40,43.22,0.62,3.88,0.56,279
Organic Search,2024042918,65,73,44,39.33,0.68,4.41,0.6,322
Organic Search,2024042920,65,78,47,54.33,0.72,4.19,0.6,327
Organic Search,2024043019,65,79,47,39.71,0.72,4.06,0.59,321
Organic Search,2024050122,65,79,49,65.68,0.75,4.41,0.62,348
Organic Social,2024040600,65,108,46,19.86,0.71,3.9,0.43,421
Organic Social,2024040615,65,78,41,74.97,0.63,5.04,0.53,393
Organic Social,2024041001,65,95,43,59.12,0.66,4.33,0.45,411
Organic Social,2024042422,65,82,47,49.24,0.72,5.17,0.57,424
Referral,2024041117,65,75,50,54.63,0.77,5.77,0.67,433
Referral,2024042211,65,73,52,75.58,0.8,5.15,0.71,376
Referral,2024043011,65,74,55,81.14,0.85,6.26,0.74,463
Referral,2024050222,65,78,45,61.64,0.69,5.37,0.58,419
Direct,2024041218,64,86,31,34.99,0.48,3.38,0.36,291
Direct,2024042220,64,88,35,37.44,0.55,3.93,0.4,346
Direct,2024042311,64,75,45,32.73,0.7,4.12,0.6,309
Direct,2024042318,64,76,37,67.46,0.58,4.49,0.49,341
Direct,2024042521,64,82,28,29.68,0.44,3.93,0.34,322
Direct,2024042621,64,74,43,57.39,0.67,4.57,0.58,338
Direct,2024042819,64,85,40,58.29,0.63,4.65,0.47,395
Direct,2024050220,64,79,24,28.49,0.38,3.99,0.3,315
Direct,2024050316,64,77,30,23.08,0.47,4.38,0.39,337
Organic Search,2024040816,64,70,45,102.9,0.7,4.61,0.64,323
Organic Search,2024040920,64,78,45,32.17,0.7,3.59,0.58,280
Organic Search,2024041118,64,72,39,49.71,0.61,4.35,0.54,313
Organic Search,2024041119,64,69,41,74.96,0.64,4.65,0.59,321
Organic Search,2024041122,64,76,45,42.45,0.7,3.74,0.59,284
Organic Search,2024041613,64,76,37,27.83,0.58,3.91,0.49,297
Organic Search,2024041915,64,77,42,36.68,0.66,4.03,0.55,310
Organic Search,2024042215,64,75,41,45.19,0.64,3.48,0.55,261
Organic Search,2024050214,64,76,44,62.71,0.69,4.21,0.58,320
Organic Search,2024050314,64,74,47,45.82,0.73,4.92,0.64,364
Organic Social,2024041020,64,81,47,37.16,0.73,4.73,0.58,383
Organic Social,2024042016,64,71,53,47,0.83,5.17,0.75,367
Organic Social,2024042116,64,82,42,39.85,0.66,4.01,0.51,329
Organic Social,2024042814,64,78,44,67.27,0.69,4.83,0.56,377
Referral,2024041014,64,72,46,63.21,0.72,5.21,0.64,375
Referral,2024041718,64,76,52,56.41,0.81,4.84,0.68,368
Referral,2024041817,64,67,45,120.82,0.7,6.31,0.67,423
Referral,2024042423,64,76,45,74.49,0.7,4.83,0.59,367
Referral,2024043012,64,71,46,114.52,0.72,5.83,0.65,414
Referral,2024043021,64,70,46,78.34,0.72,5.69,0.66,398
Referral,2024050110,64,71,50,75.61,0.78,6.01,0.7,427
Referral,2024050118,64,69,55,128.84,0.86,6.96,0.8,480
Direct,2024040811,63,77,36,43.01,0.57,4.32,0.47,333
Direct,2024041421,63,75,29,46.43,0.46,5.57,0.39,418
Direct,2024041518,63,74,32,53.36,0.51,3.64,0.43,269
Direct,2024041519,63,72,31,43.78,0.49,4.65,0.43,335
Direct,2024041813,63,77,40,48.97,0.63,5,0.52,385
Direct,2024041916,63,78,43,54.94,0.68,4.71,0.55,367
Direct,2024042514,63,76,39,64.88,0.62,5.01,0.51,381
Direct,2024042523,63,70,34,44.13,0.54,4.56,0.49,319
Direct,2024043011,63,73,32,59.95,0.51,5.23,0.44,382
Direct,2024050119,63,81,32,21.67,0.51,3.95,0.4,320
Direct,2024050219,63,84,41,59.3,0.65,4.67,0.49,392
Organic Search,2024040921,63,80,41,39.14,0.65,3.6,0.51,288
Organic Search,2024041016,63,71,42,81.06,0.67,4.3,0.59,305
Organic Search,2024041510,63,75,45,70.61,0.71,4.89,0.6,367
Organic Search,2024041617,63,71,38,40.44,0.6,3.73,0.54,265
Organic Search,2024041621,63,72,45,31.14,0.71,4.13,0.63,297
Organic Search,2024041813,63,73,41,47.29,0.65,3.74,0.56,273
Organic Search,2024042213,63,72,42,50.58,0.67,4.39,0.58,316
Organic Search,2024042219,63,74,39,36.74,0.62,4,0.53,296
Organic Search,2024042411,63,70,40,74.59,0.63,5.5,0.57,385
Organic Search,2024042519,63,68,35,61.99,0.56,3.06,0.51,208
Organic Search,2024050119,63,70,36,47.94,0.57,4.99,0.51,349
Organic Search,2024050312,63,74,52,59.88,0.83,4.91,0.7,363
Organic Social,2024041022,63,78,44,38.1,0.7,5.26,0.56,410
Organic Social,2024041310,63,82,50,64.77,0.79,5.63,0.61,462
Organic Social,2024041315,63,87,45,45.11,0.71,4.75,0.52,413
Organic Social,2024042011,63,80,51,67.53,0.81,5.9,0.64,472
Organic Social,2024042015,63,71,53,87.79,0.84,5.61,0.75,398
Organic Social,2024042121,63,74,44,38.93,0.7,5.12,0.59,379
Referral,2024040918,63,72,47,75.85,0.75,5.25,0.65,378
Referral,2024041011,63,69,48,80.71,0.76,6.96,0.7,480
Referral,2024041819,63,76,49,134.62,0.78,5.07,0.64,385
Referral,2024042412,63,75,51,72.6,0.81,5.39,0.68,404
Referral,2024050111,63,68,53,127.03,0.84,7.24,0.78,492
Referral,2024050213,63,73,51,114.11,0.81,6.82,0.7,498
Direct,2024041514,62,77,38,41.91,0.61,4.4,0.49,339
Direct,2024041611,62,79,37,53.78,0.6,4.18,0.47,330
Direct,2024041710,62,72,34,37.04,0.55,4.01,0.47,289
Direct,2024041713,62,80,39,38.34,0.63,4.04,0.49,323
Direct,2024042320,62,71,32,40.86,0.52,3.9,0.45,277
Direct,2024042616,62,69,39,59.71,0.63,3.8,0.57,262
Direct,2024050317,62,77,32,93.25,0.52,4.65,0.42,358
Organic Search,2024042214,62,73,35,18.4,0.56,3.37,0.48,246
Organic Search,2024042312,62,71,40,46.55,0.65,3.99,0.56,283
Organic Search,2024042512,62,81,43,61.28,0.69,4.9,0.53,397
Organic Search,2024050210,62,71,51,70.32,0.82,4.66,0.72,331
Organic Social,2024040710,62,84,48,49.58,0.77,4.93,0.57,414
Organic Social,2024040823,62,75,44,55.17,0.71,5.28,0.59,396
Organic Social,2024040922,62,80,39,35.66,0.63,5.09,0.49,407
Organic Social,2024041409,62,84,41,31.71,0.66,4.43,0.49,372
Organic Social,2024041913,62,81,41,39.32,0.66,4.96,0.51,402
Organic Social,2024042014,62,72,52,73.67,0.84,6.28,0.72,452
Organic Social,2024042808,62,71,46,48.08,0.74,4.8,0.65,341
Referral,2024040810,62,66,54,131.06,0.87,7,0.82,462
Referral,2024041220,62,65,54,102.82,0.87,9.49,0.83,617
Referral,2024041519,62,68,50,106.46,0.81,6.51,0.74,443
Referral,2024041711,62,72,49,94.26,0.79,5.33,0.68,384
Referral,2024042415,62,76,54,104.09,0.87,6.25,0.71,475
Referral,2024042511,62,72,49,81.96,0.79,6.01,0.68,433
Referral,2024042915,62,66,45,92.42,0.73,8.98,0.68,593
Direct,2024041013,61,69,32,46.16,0.52,4.46,0.46,308
Direct,2024041212,61,78,33,22.76,0.54,3.36,0.42,262
Direct,2024041221,61,77,27,41.06,0.44,4.26,0.35,328
Direct,2024041517,61,80,39,48.49,0.64,3.93,0.49,314
Direct,2024042222,61,77,40,56.22,0.66,3.7,0.52,285
Direct,2024042912,61,74,40,91.07,0.66,5.09,0.54,377
Direct,2024043018,61,72,32,42.72,0.52,4.64,0.44,334
Direct,2024043019,61,74,32,22.73,0.52,3.36,0.43,249
Direct,2024050123,61,81,33,37.77,0.54,4.19,0.41,339
Organic Search,2024040819,61,67,40,27.72,0.66,3.58,0.6,240
Organic Search,2024041220,61,74,43,48.92,0.7,3.74,0.58,277
Organic Search,2024041320,61,70,33,47.89,0.54,3.91,0.47,274
Organic Search,2024041423,61,69,34,45.58,0.56,3.42,0.49,236
Organic Search,2024041513,61,72,43,71.71,0.7,4.21,0.6,303
Organic Search,2024042618,61,66,40,60.98,0.66,4.3,0.61,284
Organic Search,2024042714,61,69,36,33.45,0.59,3.99,0.52,275
Organic Search,2024043020,61,73,46,48.56,0.75,4.12,0.63,301
Organic Social,2024040609,61,79,45,48.89,0.74,4.94,0.57,390
Organic Social,2024040701,61,84,47,61.23,0.77,5.14,0.56,432
Organic Social,2024041701,61,95,35,45.98,0.57,4.53,0.37,430
Organic Social,2024041901,61,83,37,37.02,0.61,3.51,0.45,291
Organic Social,2024042118,61,70,48,41.57,0.79,5.26,0.69,368
Referral,2024040612,61,67,49,93.69,0.8,7.18,0.73,481
Referral,2024041121,61,69,42,82.14,0.69,5.49,0.61,379
Referral,2024041122,61,69,42,91.12,0.69,6.67,0.61,460
Referral,2024041822,61,68,44,62.35,0.72,5.34,0.65,363
Referral,2024042317,61,70,45,53.63,0.74,5.13,0.64,359
Referral,2024042413,61,65,43,43.65,0.7,4.63,0.66,301
Referral,2024042918,61,64,48,100.05,0.79,6.08,0.75,389
Referral,2024050123,61,65,43,114.88,0.7,5.86,0.66,381
Direct,2024040600,60,66,40,97.59,0.67,4.03,0.61,266
Direct,2024040715,60,73,35,52.59,0.58,4.45,0.48,325
Direct,2024041318,60,76,31,23.96,0.52,3.29,0.41,250
Direct,2024042214,60,77,39,51.3,0.65,4.23,0.51,326
Direct,2024042617,60,74,33,33.92,0.55,3.65,0.45,270
Direct,2024042823,60,66,36,92.71,0.6,5.98,0.55,395
Direct,2024050215,60,71,31,42.69,0.52,3.87,0.44,275
Direct,2024050221,60,74,34,51.35,0.57,4.47,0.46,331
Organic Search,2024040720,60,64,42,49.17,0.7,4.59,0.66,294
Organic Search,2024040918,60,65,38,25.4,0.63,3.6,0.58,234
Organic Search,2024041019,60,69,41,35.07,0.68,3.48,0.59,240
Organic Search,2024041216,60,69,37,37.3,0.62,3.68,0.54,254
Organic Search,2024041412,60,66,40,36.38,0.67,4.23,0.61,279
Organic Search,2024041619,60,71,40,21.39,0.67,3.48,0.56,247
Organic Search,2024041717,60,67,42,58.78,0.7,3.45,0.63,231
Organic Search,2024041912,60,75,44,35.25,0.73,3.31,0.59,248
Organic Search,2024041922,60,70,42,38.33,0.7,4.46,0.6,312
Organic Search,2024042210,60,69,45,36.99,0.75,4.64,0.65,320
Organic Search,2024043012,60,75,42,54.24,0.7,4.64,0.56,348
Organic Search,2024050120,60,66,42,56.98,0.7,3.92,0.64,259
Organic Search,2024050311,60,75,42,42.05,0.7,3.93,0.56,295
Organic Social,2024040623,60,81,34,29.22,0.57,3.78,0.42,306
Organic Social,2024040809,60,69,44,123.14,0.73,5.36,0.64,370
Organic Social,2024041109,60,79,39,48.47,0.65,4.25,0.49,336
Organic Social,2024041223,60,68,40,61.15,0.67,5.78,0.59,393
Referral,2024040820,60,70,42,51.61,0.7,4.73,0.6,331
Referral,2024040922,60,72,46,89.14,0.77,6.43,0.64,463
Referral,2024041621,60,72,44,88.75,0.73,5.15,0.61,371
Referral,2024041716,60,65,51,72.68,0.85,5.92,0.78,385
Referral,2024041811,60,68,50,74.38,0.83,7.31,0.74,497
Referral,2024042212,60,71,53,105.75,0.88,7.85,0.75,557
Referral,2024042313,60,69,47,88.54,0.78,5.57,0.68,384
Referral,2024042418,60,71,37,68.42,0.62,4.77,0.52,339
Referral,2024042611,60,70,48,106.03,0.8,5.47,0.69,383
Referral,2024042720,60,67,45,67.64,0.75,5,0.67,335
Referral,2024042922,60,68,46,85.04,0.77,4.6,0.68,313
Referral,2024050318,60,67,48,110,0.8,6.42,0.72,430
Referral,2024050319,60,67,41,140.67,0.68,6.39,0.61,428
Direct,2024040722,59,71,30,25.77,0.51,4.04,0.42,287
Direct,2024040812,59,78,35,26.65,0.59,3.95,0.45,308
Direct,2024040918,59,67,30,31.09,0.51,3.91,0.45,262
Direct,2024041010,59,71,30,47.52,0.51,4.58,0.42,325
